pm_full,pm_last,household_id,household_position,actual_date,contact_method,owner_full,owner_last
Fundraiser A,A,10002,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,5/20/2008,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,5/6/2008,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,6/12/2007,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/28/2007,Action,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/9/2007,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/9/2006,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/23/2005,Action,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/9/2005,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,1/27/2005,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,1/24/2005,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/9/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/6/2004,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,1/23/2004,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,10/2/2003,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/7/2003,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,1/14/2003,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,12/9/2002,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/11/2002,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10002,PR,5/14/2002,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,9/5/1998,Action,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/16/1998,Mail,Other Fundraiser,Other
Fundraiser D,D,10003,PR,11/21/2014,Personal Visit,Other Fundraiser,Other
Fundraiser D,D,10003,PR,10/15/2014,Personal Visit,Fundraiser D,D
Fundraiser D,D,10003,PR,12/11/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10003,PR,2/18/2009,Personal Visit,Other Fundraiser,Other
Fundraiser I,I,10004,PR,8/19/2014,Task,Other Fundraiser,Other
Fundraiser I,I,10004,PR,2/21/2008,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/8/2019,E-mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/4/2017,SMU Event,Other Fundraiser,Other
Fundraiser G,G,10005,PR,2/15/2016,Internal Meeting,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/6/2014,E-mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/20/2013,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/18/2013,E-mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/18/2013,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/17/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/11/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/4/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/22/2013,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/8/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/28/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/8/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/18/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/3/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,8/29/2013,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,8/2/2013,E-mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,6/1/2013,E-mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,5/31/2013,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/15/2012,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/13/2012,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,7/31/2012,Task,Other Fundraiser,Other
Fundraiser G,G,10005,PR,5/18/2012,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/13/2012,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/15/2011,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/15/2010,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/31/2009,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/31/2009,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/5/2009,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/19/2008,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,3/10/2008,Action,Other Fundraiser,Other
Fundraiser G,G,10005,PR,6/12/2007,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/18/2003,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/29/2003,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/9/2003,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,6/2/2003,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,4/21/2003,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/31/2003,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/13/2003,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/13/2003,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/27/2002,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,11/15/2002,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/9/2002,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,12/6/2001,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,3/21/2001,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,8/6/1999,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,7/23/1999,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10005,PR,3/1/1999,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/8/1999,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,1/8/1999,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10005,PR,10/16/1998,Mail,Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/18/1998,"Visit, No Contact Report",Other Fundraiser,Other
Fundraiser G,G,10005,PR,9/5/1998,Action,Other Fundraiser,Other
Fundraiser G,G,10005,PR,3/9/1998,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,2/26/1997,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,2/8/1996,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,2/22/1995,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10005,PR,,,Other Fundraiser,Other
Fundraiser D,D,10006,PR,9/23/2019,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,5/13/2019,Mail,Fundraiser D,D
Fundraiser D,D,10006,PR,2/11/2019,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,1/30/2019,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,5/1/2018,Mail,Fundraiser D,D
Fundraiser D,D,10006,PR,2/15/2018,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,2/13/2018,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,5/13/2016,Mail,Fundraiser D,D
Fundraiser D,D,10006,PR,12/11/2015,E-mail,Fundraiser D,D
Fundraiser D,D,10006,PR,1/24/2011,E-mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,5/20/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,2/14/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,6/7/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,5/30/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,11/6/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,10/27/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,1/5/2006,Phone Call,Other Fundraiser,Other
Fundraiser D,D,10006,PR,8/29/2005,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,12/5/2003,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,11/17/2003,Mail,Other Fundraiser,Other
Fundraiser D,D,10006,PR,1/27/1998,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/11/2019,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,9/27/2018,SMU Event,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/1/2013,E-mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,5/31/2013,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,7/31/2012,Task,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/11/2010,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/4/2010,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/30/2009,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/5/2009,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/30/2008,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,5/19/2008,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,11/15/2007,Proposal,Other Fundraiser,Other
Fundraiser G,G,10007,PR,7/13/2007,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/22/2007,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,6/7/2004,Mail,Other Fundraiser,Other
Fundraiser G,G,10007,PR,12/3/2002,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10007,PR,11/22/1999,Proposal,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/20/2017,E-mail,Fundraiser A,A
Fundraiser A,A,10008,PR,9/22/2016,Internal Meeting,Other Fundraiser,Other
Fundraiser A,A,10008,PR,11/20/2015,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,10/2/2015,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,9/18/2015,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,8/3/2015,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,7/1/2015,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,6/29/2015,Task,Other Fundraiser,Other
Fundraiser A,A,10008,PR,6/24/2015,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,3/13/2013,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,8/23/2011,Task,Other Fundraiser,Other
Fundraiser A,A,10008,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,7/17/2007,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,4/12/2006,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,9/21/2005,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,8/23/2005,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,8/23/2005,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,7/13/2005,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,5/3/2005,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/4/2005,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/3/2005,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/1/2005,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,1/27/2005,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10008,PR,9/29/2004,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,7/1/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,6/4/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,5/26/2004,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,5/4/2004,"Visit, No Contact Report",Other Fundraiser,Other
Fundraiser A,A,10008,PR,3/25/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,3/22/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/9/2004,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,12/10/2003,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,11/21/2003,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,10/24/2003,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,10/14/2003,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,9/30/2003,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,9/3/2003,"Visit, No Contact Report",Other Fundraiser,Other
Fundraiser A,A,10008,PR,8/27/2003,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,6/9/2003,E-mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,2/4/2003,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10008,PR,12/31/2002,Action,Other Fundraiser,Other
Fundraiser A,A,10008,PR,12/31/2002,Mail,Other Fundraiser,Other
Fundraiser A,A,10008,PR,7/9/1997,Action,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/27/2019,Mail,Fundraiser D,D
Fundraiser D,D,10009,PR,4/10/2014,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/1/2012,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/6/2011,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/17/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/14/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/16/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/6/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/5/2009,Endowment Report,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/23/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/16/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/16/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,9/10/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,9/8/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/13/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/6/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/30/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/26/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/28/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/26/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/26/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/12/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/3/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/26/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/21/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/21/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/21/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/16/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/9/2009,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/19/2008,Endowment Report,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/12/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/8/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/1/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/7/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/4/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/14/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/7/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,9/19/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,9/15/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/15/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/14/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/25/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/11/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/10/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/2/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/10/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/5/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/14/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/8/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/5/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/5/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/18/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/11/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/4/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/10/2008,Action,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/6/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,3/4/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/29/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/25/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/22/2008,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/21/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,12/14/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/29/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/8/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/2/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/17/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/3/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/1/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/1/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/1/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/1/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/1/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/31/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,8/6/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/17/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/10/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/10/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/10/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/22/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/12/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/29/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/22/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,5/15/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/24/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/24/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/10/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,4/5/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/28/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/22/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/17/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/4/2007,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/30/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/28/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/21/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/21/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/20/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,11/6/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/26/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,10/13/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,9/22/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,7/7/2006,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/28/2006,Phone Call,Other Fundraiser,Other
Fundraiser D,D,10009,PR,1/5/2006,Phone Call,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/15/2004,Action,Other Fundraiser,Other
Fundraiser D,D,10009,PR,6/18/2003,Mail,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/8/1996,Endowment Report,Other Fundraiser,Other
Fundraiser D,D,10009,PR,2/22/1995,Endowment Report,Other Fundraiser,Other
Fundraiser G,G,10010,PR,11/25/2019,Mail,Fundraiser G,G
Fundraiser G,G,10010,PR,11/4/2016,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10010,PR,9/23/2016,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10010,PR,2/8/2016,Personal Visit,Other Fundraiser,Other
Fundraiser G,G,10010,PR,12/23/2015,Mail,Other Fundraiser,Other
Fundraiser G,G,10010,PR,8/11/2014,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10010,PR,7/7/2014,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10010,PR,4/25/2014,Phone Call,Other Fundraiser,Other
Fundraiser G,G,10010,PR,3/7/2014,Personal Visit,Other Fundraiser,Other
